Alloy,No,Phase,Phase1,a(Å),δ,T_m(K),σT_m(K),ΔH_mix(kJ/mol),σH_mix(kJ/mol),ΔS_mix(R),χ,Δχ,VEC,σVEC,K(GPa),σK(GPa),Young's modulus E (GPa),Shear modulus G (GPa)
Ag2Al,2.0,IM,IM,1.44066666666667,0.0042537659210667,1134.44333333333,142.109606837664,-3.55555555555556,0.20951312035157,0.636514168294813,1.82333333333333,0.15084944665313,8.33333333333333,3.77123616632825,92.0,11.3137084989848,80.0,28.6666666666667
Ag5Cd8,2.0,IM,IM,1.52069230769231,0.0393505136527604,840.646923076923,311.708141484074,-1.89349112426036,0.0518170212863275,0.666278442414676,1.78230769230769,0.116761021298525,11.6153846153846,0.48650425541052,64.3076923076923,28.2172468138102,63.4615384615385,23.2307692307692
Ag2Ga3,2.0,IM,IM,1.4132,0.0183729063639272,675.718,456.594686013756,-4.8,0.0979795897113272,0.673011667009257,1.858,0.0587877538267962,6.2,3.91918358845309,40.0,48.9897948556636,34.0,12.0
Ag3Ga,2.0,IM,IM,1.43175,0.0160291064782872,1001.925,403.576498417586,-3.75,0.541265877365274,0.562335144618808,1.9,0.0519615242270663,9.0,3.46410161513775,75.0,43.3012701892219,63.75,22.5
AgMg3,2.0,IM,IM,1.562,0.043245826821502,1000.9825,135.06965210124,-7.5,1.08253175473055,0.562335144618808,1.465,0.268467875173176,4.25,3.89711431702997,58.75,23.8156986040721,55.0,20.25
AgPt3,2.0,IM,IM,1.4015,0.0179198977593641,1839.7825,349.211753695018,-0.75,0.108253175473055,0.562335144618808,2.1925,0.151554445662277,10.25,0.433012701892219,197.5,56.2916512459885,147.25,53.25
Ag3Sb,2.0,IM,IM,1.48625,0.0480720577374037,1152.1425,143.392156231608,-3.0,0.433012701892219,0.562335144618808,1.96,0.0519615242270663,9.5,2.59807621135332,85.5,25.1147367097487,77.5,27.5
Ag7Sb,2.0,IM,IM,1.465625,0.0372323212218045,1193.53625,109.51756833238,-1.75,0.744117556236916,0.376770161256437,1.945,0.0396862696659688,10.25,1.98431348329844,92.75,19.1816970052183,81.25,28.75
Ag3Sn,2.0,IM,IM,1.48875,0.0508998977874985,1052.4675,316.034320476036,-2.25,0.324759526419165,0.562335144618808,1.9375,0.0129903810567666,9.25,3.03108891324554,89.5,18.1865334794732,76.25,27.0
Ag4Sn,2.0,IM,IM,1.48,0.0472972972972973,1088.96,291.94,-1.92,0.432,0.500402423538188,1.936,0.012,9.6,2.8,91.6,16.8,78.0,27.6
Ag5Sn,2.0,IM,IM,1.47416666666667,0.0442410283846765,1113.28833333333,271.999035563037,-1.66666666666667,0.496903994999953,0.450561208866305,1.935,0.011180339887499,9.83333333333333,2.60874597374975,93.0,15.6524758424985,79.1666666666667,28.0
AgTi3,2.0,IM,IM,1.45775,0.00504971080923869,1764.4825,305.737278425039,-1.5,0.21650635094611,0.562335144618808,1.6375,0.168874953737966,5.75,3.03108891324554,107.5,4.33012701892219,108.25,40.5
